fen_board,cp_score
r2qkbnr/ppp1pp1p/2np2p1/8/3PP1b1/2N5/PPP2PPP/R1BQKBNR b KQkq - 3 5,-0.098
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB4/PP1Q1PPP/RNB1K1NR b KQkq - 2 6,-0.0043
rnbqkb1r/pppp1ppp/5n2/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq - 0 3,-0.0104
r1bqkbnr/pp1ppp1p/2n3p1/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq - 0 5,0.0037
rnb1kb1r/pp1q1ppp/2p2n2/3p2B1/3P4/2N5/PPQ1PPPP/R3KBNR w KQkq - 2 7,0.0137
rn1qkb1r/ppp1pppp/5n2/3P4/3P4/7b/PP2PPPP/RNBQKBNR w KQkq - 1 4,0.0608
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/P4N2/1PPP1PPP/RNBQK2R b KQkq - 0 5,-0.0141
rnb1kbnr/ppp2ppp/4pq2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,0.0274
rnbqk2r/ppp1nppp/4p3/1B1pP3/1b1P4/2N5/PPP2PPP/R1BQK1NR b KQkq - 2 5,-0.0075
rn1qk2r/4ppbp/b2p1np1/2pP4/8/2N2NP1/PP2PP1P/1RBQKB1R b Kkq - 2 9,0.0074
r1bq1rk1/pp1n1ppp/2p2n2/3p2B1/3P4/b1NBPN2/PPQ2PPP/R3K2R w KQ - 5 10,0.0651
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,-0.01
rnb1r1k1/pp3pbp/3p1np1/q1pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 8 11,0.0175
rnbqk2r/ppp1nppp/4p3/3pP3/1b1P4/2N2Q2/PPP2PPP/R1B1KBNR b KQkq - 2 5,-0.0137
rnbqkbnr/ppp1pppp/8/3p4/6P1/7N/PPPPPP1P/RNBQKB1R b KQkq - 1 2,-0.0272
rnbqkbnr/ppp1p1pp/5p2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,0.0196
r2qkb1r/pp1b1ppp/4pn2/3p4/2nP1B2/2PB1N2/PPQ2PPP/RN2K2R w KQkq - 2 11,0.0147
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 b kq - 0 8,-0.0005
r1bqkbnr/pp2pppp/2n5/3p4/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq - 3 5,-0.0124
rnbqkb1r/ppp2ppp/3p1n2/4N3/4P3/P7/1PPP1PPP/RNBQKB1R b KQkq - 0 4,-0.0403
rnbqkbnr/pp2pppp/3p4/2p5/3NP3/8/PPPP1PPP/RNBQKB1R b KQkq - 1 3,-0.0474
rn1qkb1r/pp2pppp/2p2n2/3P4/5Pb1/8/PP1PP1BP/RNBQK1NR b KQkq - 0 5,-0.0285
rn1qkb1r/p1pp1ppp/bp2pn2/8/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 3 6,0.0148
rn1q1rk1/4ppbp/b2p1np1/2pP4/8/2N2NP1/PP1BPPBP/R2QK2R b KQ - 4 10,0.0056
rnbqkb1r/pppppp2/5np1/7p/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,0.0174
r2qkbnr/p1p1pp1p/1pnp2p1/3P4/4P1b1/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,0.0575
rnbqr1k1/1p3pbp/p2p1np1/2pP4/N3P3/8/PP1NBPPP/R1BQ1RK1 b - - 1 11,-0.0215
r1bqk1nr/pp1pppbp/2n5/6p1/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 0 7,0.0252
rn1qkb1r/pp2pppp/5n2/1N1p1b2/3P4/4P3/PP3PPP/R1BQKBNR b KQkq - 1 6,-0.0075
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,-0.0052
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPPB1PPP/RN1QKB1R b KQkq - 2 5,-0.0115
rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,0.0065
rn1qkb1r/1p2pppp/5n2/p2p1b2/3P4/1QN1P3/PP3PPP/R1B1KBNR w KQkq - 0 7,0.0179
r2qkb1r/pp2pppp/5n2/n2p4/3PBBb1/1QP5/PP3PPP/RN2K1NR b KQkq - 6 8,-0.1366
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PP1KPP1P/RNBQ1B1R b kq - 2 5,-0.0368
r1bqk1nr/pp1pppbp/2n3p1/5N2/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq - 3 6,-0.0443
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P1P1/5N2/PPPP1P1P/RNBQK2R b KQkq - 0 5,-0.0212
rn1qkb1r/ppp2ppp/5n2/3p2B1/3P4/2N4b/PP2PPPP/R2QKBNR w KQkq - 2 6,0.0558
rnbqkb1r/ppp1pppp/5n2/8/3PP1Q1/8/PP3PPP/RNB1KBNR b KQkq - 2 5,-0.1325
r1bqkbnr/pp1ppppp/2n5/8/3QP3/5N2/PPP2PPP/RNB1KB1R b KQkq - 0 4,-0.0883
r1b1kbnr/ppqp1ppp/2n1p3/4P3/3N4/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 6,-0.0143
r1bqk2r/ppp2p1p/2n2np1/4P3/2Bp4/5N2/PP1N1PPP/R2Q1RK1 w kq - 0 10,0.0453
rnbqkb1r/p4ppp/1p1p1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 7,0.0213
rn1qkb1r/4pp1p/3p1np1/2pP4/2b5/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 1 9,0.0157
rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP1KPPPP/RNBQ1BNR b kq - 1 3,-0.0369
r2qkb1r/pp1b1pp1/4pn1p/n2p4/3P1B2/2PB1N2/PPQ2PPP/RN2K2R w KQkq - 0 11,0.0126
r1bqkb1r/2pp1ppp/p1n5/1p2p3/3P4/1Bn2N2/PPP2PPP/RNBQ1RK1 w kq - 2 8,0.0633
r1bqkb1r/pp3ppp/2np1n2/4pNB1/4P3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 7,0.003
r1bqk2r/pp1pppbp/2n2np1/8/3NP3/2N1B1P1/PPP2P1P/R2QKB1R b KQkq - 0 7,-0.0006
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/5NP1/PP2PPBP/RNBQ1K1R b kq - 1 6,-0.0049
rnbqk1nr/pp3pbp/3p2p1/2pP4/4P3/2N2N2/PP2BPPP/R1BQK2R w KQkq - 4 9,0.0238
r1bq1rk1/1pp1ppbp/p2p1np1/8/2PnP3/2N1BP2/PP4PP/R1NQKB1R w KQ - 0 9,0.0348
rnbqkb1r/pp2pppp/2p2n2/3p4/N1PP4/8/PP2PPPP/R1BQKBNR b KQkq - 3 4,-0.0115
rnbqkbnr/pp2pppp/3p4/8/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,-0.0064
rnbqkbnr/1pp2ppp/p2p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,0.0118
r1bqk1nr/pppnbppp/3p4/1B6/3NP3/8/PPP2PPP/RNBQK2R b KQkq - 2 6,-0.002
r1b1kb1r/1pqpnppp/p1n1p3/8/3NP3/2N1B3/PPPKBPPP/R2Q3R b kq - 3 8,-0.0131
r1bqkb1r/pp2pppp/2n2n2/3p4/Q2P4/2PB4/PP3PPP/RNB1K1NR b KQkq - 2 6,-0.0048
r1bqkbnr/p2ppppp/1pn5/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,0.0176
r2qkb1r/pp1bpppp/5n2/nQ1p4/3P1B2/2PB4/PP3PPP/RN2K1NR b KQkq - 8 9,-0.0887
rnbqkb1r/pp1p1ppp/5n2/2pp4/2P5/2N5/PPQ1PPPP/R1B1KBNR b KQkq - 1 5,-0.0154
2bqk2r/r1ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w k - 2 8,0.0183
rnbqkb1r/3ppppp/p4n2/1PpP4/8/4B3/PP2PPPP/RN1QKBNR b KQkq - 1 5,-0.014
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,0.0023
rnbqkb1r/pp1p1ppp/5n2/2pp4/2P5/2NQ4/PP2PPPP/R1B1KBNR b KQkq - 1 5,-0.039
rnbqkb1r/5ppp/p2ppn2/1p1N4/2BNP3/8/PPP2PPP/R1BQ1RK1 b kq - 1 8,-0.0457
r1bqkbnr/ppp1pp1p/2np2p1/8/3PP3/2N2Q2/PPP2PPP/R1B1KBNR b KQkq - 1 4,-0.0187
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/4BNP1/PP2PPBP/RN1QK2R b KQkq - 1 6,-0.0051
r2qkb1r/pp2pppp/5nB1/n2p4/3P1Bb1/1QP5/PP3PPP/RN2K1NR b KQkq - 6 8,-0.1259
rnbqkbnr/pp2pppp/2p5/3p4/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 1 3,-0.0367
r1bqk2r/pp1nbppp/2p2n2/1N1p2B1/3P4/4P3/PPQ2PPP/R3KBNR b KQkq - 2 8,-0.0504
rnbq3r/pp2kpbp/3p1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQK2R w KQ - 4 9,0.023
rn2kb1r/pp2pp1p/1qP2np1/8/6b1/1Q6/PP1PPPBP/RNB1K1NR w KQkq - 0 7,0.2109
rnbqkb1r/pppp1ppp/4p3/7n/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,0.0191
rnbqkbnr/ppp2ppp/8/8/2ppP3/5N2/PP2QPPP/RNB1KB1R b KQkq - 1 5,-0.0469
r2qkbnr/2p2pp1/p1pp4/4p2p/4P1b1/2N2N1P/PPPP1PP1/R1BQ1RK1 b kq - 1 8,-0.0069
rnbqkb1r/ppp1pppp/8/3n4/3P4/8/PP1NPPPP/R1BQKBNR b KQkq - 1 4,0.0017
rnbqkbnr/ppp3pp/4p3/3p1p2/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,0.0127
rnbqk2r/1p2bppp/p2ppn2/8/2BNP3/2N5/PPP2PPP/R1BQ1RK1 w kq - 2 8,0.0055
rn1qkbr1/pp2pppp/2p2n2/3P1b2/3P4/2N1P3/PP3PPP/R1BQKBNR w KQq - 1 6,0.0366
rnbqk2r/p1ppppbp/1p3np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,0.0195
rnb1k1nr/ppp2ppp/5q2/8/1bBpP3/5N2/PP1B1PPP/RN1QK2R w KQkq - 3 7,0.0477
r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/8/PPPQ1PPP/RNB1KB1R b KQkq - 2 5,-0.0186
r1bq1rk1/pp1nbppp/2p2n2/3p2B1/3P4/2NBPP2/PPQ3PP/R3K1NR b KQ - 0 9,-0.0035
rnbqkbnr/ppp2ppp/4p3/3p4/Q1PP4/8/PP2PPPP/RNB1KBNR b KQkq - 1 3,-0.0073
rnbqkbnr/pp2pppp/3p4/8/3pPB2/5N2/PPP2PPP/RN1QKB1R b KQkq - 1 4,-0.012
rnbq1b1r/ppp2k1p/3p1n2/6p1/3PP3/8/PPP2PPP/RNBQKB1R w KQ - 0 6,0.0138
rn1qkb1r/4pppp/3p1n2/2pP4/8/2Nb1N2/PP2PPPP/R1BQKB1R w KQkq - 2 8,0.0766
rn1qkb1r/pp1bpppp/2p2n2/3P4/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 1 6,0.0229
r1bqkb1r/pp3ppp/2np1n2/1N2p1B1/4P3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 7,0.0003
rn1qkb1r/4pppp/b2p1n2/2pP4/8/2N4N/PP2PPPP/R1BQKB1R b KQkq - 1 7,0.0071
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/Q1PP4/5NP1/PP2PPBP/RNB1K2R b KQkq - 1 6,-0.0112
rn1qkb1r/pp2pppp/5n2/3p1b2/3P2Q1/2N1P3/PP3PPP/R1B1KBNR b KQkq - 1 6,-0.1341
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PPQ1PPPP/RNB1KB1R b KQkq - 1 4,-0.0035
rnbqkb1r/pppp1ppp/3n4/1B6/3Q4/5N2/PPP2PPP/RNB1K2R b KQkq - 2 6,-0.0547
r2qkbnr/1pp2pp1/p1np4/4p2p/B3P1b1/5N1P/PPPPQPP1/RNB2RK1 b kq - 1 7,-0.0363
rnbqkbnr/pp2pppp/8/3p4/3P2Q1/8/PPP2PPP/RNB1KBNR b KQkq - 1 4,-0.1348
rnbqkb1r/pp1p1p1p/5np1/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 6,0.0146
r1bq1rk1/pp1nbppp/2p5/3p2Bn/3P4/2NBPN2/PPQ2PPP/R3K2R w KQ - 5 10,0.024
rnbqk2r/ppppppb1/5np1/7p/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,0.0157
r2q1rk1/3nppbp/b2p1np1/2pP4/3Q4/2N2NP1/PP2PPBP/R1B2RK1 b - - 6 11,-0.1228
rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/1Q6/PP2PPPP/RNB1KBNR b KQkq - 1 4,-0.0153
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,-0.0006
rnbqkbnr/ppp2ppp/7B/4p3/2pPP3/8/PP3PPP/RN1QKBNR b KQkq - 1 4,-0.0571
r1b1kbnr/1pqp2pp/p1n1pp2/8/3NP3/2N1B3/PPP1BPPP/R2QK2R w KQkq - 0 8,0.0197
rnbqkb1r/pppp1ppp/3n4/8/2B5/2Q2N2/PPP2PPP/RNB1K2R b KQkq - 2 6,-0.0169
rnbqk2r/pppp1ppp/5n2/4p3/1bBPP3/8/PPP2PPP/RNBQK1NR w KQkq - 1 4,0.0162
r1bqkb1r/pp3ppp/2np1n2/4p1B1/3NP3/2N4P/PPP2PP1/R2QKB1R b KQkq - 0 7,-0.0434
rn2kb1r/pp3ppp/1qP1pn2/8/6b1/1Q6/PP1PPPBP/RNB1K1NR w KQkq - 0 7,0.2063
rn1qkbnr/pp2pppp/2p5/3P4/8/8/PP1PbPBP/RNBQK1NR w KQkq - 0 5,0.0388
r1b1kb1r/1pqpnppp/p1n1p3/1N6/3NP3/4B3/PPP1BPPP/R2QK2R b KQkq - 3 8,0.0067
rnbqkbnr/pp3ppp/2p5/3p2B1/3P4/2N5/PPQ1PPPP/R3KBNR w KQkq - 2 7,0.0907
rnbqk2r/pp2bppp/3p1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 7,0.0145
rnbqkbnr/pp2pppp/3p4/8/3pP3/8/PPP2PPP/RNBQKBNR b KQkq - 1 4,-0.0113
r2qkb1r/pp1bpppp/3B1n2/n2p4/Q2P4/2PB4/PP3PPP/RN2K1NR b KQkq - 8 9,-0.1347
rnbq1bnr/ppp2kpp/3p4/8/3PP3/8/PPP2PPP/RNBQKB1R w KQ - 1 6,0.0216
r1b1kb1r/1pqpnppp/p1n1p3/8/3NP3/2N5/PPPBBPPP/R2QK2R b KQkq - 3 8,-0.0479
r1bqkbnr/pppn1ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,0.0101
r1bqkbnr/pp1ppp1p/2n3p1/8/3NP3/8/PPPN1PPP/R1BQKB1R b KQkq - 1 5,-0.0455
rnbqk1nr/1pp1bppp/3p4/p7/2BNP3/8/PPP2PPP/RNBQK2R w KQkq - 0 6,0.0215
r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPPQPPP/RNB1KBNR b KQkq - 2 2,-0.0073
rn1qkbnr/ppp1pppp/8/3p4/6b1/P7/1PPPPPBP/RNBQK1NR b KQkq - 0 3,-0.0226
rnbqkb1r/ppp2ppp/4pn2/3p4/1PPP4/2N5/P3PPPP/R1BQKBNR b KQkq - 0 4,-0.0267
rn1q1rk1/4ppb1/b2p1npp/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 0 11,0.015
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 2 6,-0.0083
r1bqrnk1/pp2bppp/2p2n2/3p2B1/3P4/P1NBPN2/1PQ2PPP/R4RK1 b - - 0 11,0.0
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKBR1 b Qkq - 2 5,-0.0136
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/P3P3/5N2/1PPP1PPP/RNBQK2R b KQkq - 0 4,-0.0475
r1bqkb1r/pp2pppp/5n2/3pn3/3P1B2/2PB4/PP3PPP/RN1QK1NR w KQkq - 3 7,0.0672
rnbqkb1r/ppp2ppp/4pn2/3p4/P1PP4/2N5/1P2PPPP/R1BQKBNR b KQkq - 0 4,-0.0068
r2q1rk1/2p1bppp/p2p1n2/1p2p3/1n1PP1b1/1BP1BN2/PP3PPP/RN1QR1K1 w - - 3 11,0.0485
rnbqkb1r/pppp1ppp/8/4N2n/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 1 4,0.0682
rn1qk2r/1b2bppp/p1Nppn2/1p6/4P3/1BN5/PPP2PPP/R1BQR1K1 b kq - 5 10,-0.0573
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/N7/PP2PPPP/R1BQKBNR b KQkq - 1 3,-0.0076
rnbqkb1r/ppp1pppp/8/3n4/3P4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 4,0.0057
rn1q1b1r/3kpp1p/b2p1np1/2pP4/8/2N2NP1/PP2PP1P/R1BQKB1R w KQ - 1 9,0.0372
rnbqkbnr/ppp1pppp/8/8/2pP4/4B3/PP2PPPP/RN1QKBNR b KQkq - 1 3,-0.0097
rnbqkb1r/pp3ppp/2p2n2/3p2B1/3P4/2N4P/PP2PPP1/R2QKBNR b KQkq - 0 6,-0.0062
rn1qkbr1/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PP2PPBP/RNBQK2R w KQq - 3 6,0.0209
r2qkbnr/ppp1pp1p/3p2p1/3Pn3/4P1b1/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 2 6,0.0011
rnbqkb1r/pppppp1p/5np1/8/2PP4/N7/PP2PPPP/R1BQKBNR b KQkq - 1 3,-0.0058
rnbqkb1r/1ppp1ppp/p4n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR w KQkq - 0 4,0.0359
rnbqkbnr/1pp1pppp/p7/8/2pPP3/8/PP3PPP/RNBQKBNR w KQkq - 0 4,0.0056
r2q1rk1/2p1bppp/p2p1n1B/np2p3/3PP1b1/1BP2N2/PP3PPP/RN1QR1K1 b - - 4 11,-0.0415
rnbqkbnr/pp2pppp/2p5/3p4/3PP2P/8/PPP2PP1/RNBQKBNR b KQkq - 0 3,-0.0095
r1bq1rk1/pp1pppbp/2n2np1/8/2BNP3/2N1B3/PPP2PPP/1R1QK2R b K - 7 8,-0.0102
r1bqkb1r/2pp2pp/p1n2p2/1p2p3/3Pn3/1B3N2/PPP2PPP/RNBQ1RK1 w kq - 0 8,0.0346
rn1qk2r/1b2bppp/p2ppn2/1p6/N2NP3/1B6/PPP2PPP/R1BQR1K1 b kq - 5 10,-0.0348
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N2P2/PP2P1PP/R1BQKBNR b KQkq - 0 4,-0.0066
r1bqkbnr/pp1p1ppp/2n1p3/6B1/3NP3/8/PPP2PPP/RN1QKB1R b KQkq - 1 5,-0.053
r1bq1rk1/pp1nbppp/5n2/2pp2B1/3P4/2NBPN2/PPQ2PPP/R3K2R w KQ - 0 10,0.0129
r1bq1rk1/ppp1ppbp/2np1np1/8/2PPP1P1/2N1BP2/PP5P/R2QKBNR b KQ - 0 7,-0.01
rn1qkbnr/ppp1pppp/8/3p4/6b1/5P2/PPPPP1BP/RNBQK1NR b KQkq - 0 3,-0.0272
r1bq1rk1/pp1pppbp/2n2np1/8/2BNP3/2N1B3/PPP2PPP/RQ2K2R b KQ - 7 8,-0.0198
r1bqkbnr/ppp1pppp/2np4/8/3PP3/8/PPPB1PPP/RN1QKBNR b KQkq - 1 3,-0.0125
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,0.0061
r2qkbnr/1pp2pp1/p1np4/4p2p/B3P1b1/N4N1P/PPPP1PP1/R1BQ1RK1 b kq - 1 7,-0.0125
r1bqkbnr/2p2ppp/ppnp4/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,0.0754
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 6,0.0043
rnbqkb1r/pppp1ppp/5n2/8/3pP3/8/PPP1BPPP/RNBQK1NR b KQkq - 1 4,-0.0169
r2q1rk1/2p1bppp/p2p1n2/np2P3/4P3/1BP1BN1b/PP3PPP/RN1QR1K1 w - - 1 12,0.0937
rnbqkb1r/ppp1pppp/8/3n4/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 4,0.0092
rnbqr1k1/pppp1ppp/4pn2/8/1bPP4/P1N5/1PQ1PPPP/R1B1KBNR w KQ - 1 6,0.0453
rnbqk2r/2ppbppp/p4n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 2 8,0.0339
rnbq1rk1/pppp1pp1/4pn2/7p/1bPP4/P1N5/1PQ1PPPP/R1B1KBNR w KQ - 0 6,0.05
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,0.002
r1bqkbr1/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w q - 4 6,0.0251
rnbqkb1r/ppp2ppp/4p3/3P4/3P2n1/2N5/PP2PPPP/R1BQKBNR w KQkq - 1 5,0.0325
r1bqkbnr/pp1ppp1p/2n3p1/8/3NP3/8/PPP1KPPP/RNBQ1B1R b kq - 1 5,-0.0194
r1b1rnk1/pp1qbppp/2p2n2/3p2B1/3P4/2NBPN2/PPQ2PPP/1R3RK1 w - - 9 12,0.0133
rn1qkbnr/ppp1pppp/8/8/2p3b1/8/PP1PPPBP/RNBQK1NR w KQkq - 0 4,-0.0016
r2qkb1r/pp1b1ppp/2n1pn2/3p4/3P1B2/2PB1N2/PPQ2PPP/RN2K2R w KQkq - 2 11,0.0111
r2qkb1r/pp2pppp/5n2/n2p4/3P1Bb1/1QP5/PP2BPPP/RN2K1NR b KQkq - 6 8,-0.0888
rnbqkbnr/pp2pp1p/3p2p1/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,0.0079
rnbqkb1r/pp3p1p/3p1np1/2pP4/4P3/8/PP2NPPP/R1BQKBNR b KQkq - 1 7,-0.0097
rnbqk1nr/ppp1bppp/3p4/3B4/3pP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 5,-0.0085
r1bqkb1r/1ppp1ppp/p1n5/4p3/B3n3/8/PPPP1PPP/RNBQNRK1 b kq - 1 6,-0.0204
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,0.0012
r1bqkb1r/1ppp1ppp/p1n5/4p3/B3P1n1/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,0.019
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/P1N5/1PQ1PPPP/R1B1KBNR w KQ - 0 6,0.0354
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 2 5,0.0008
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/5NP1/PP2PPBP/RNBQKR2 b Qkq - 1 6,-0.0204
1rbq1rk1/pp1nbppp/2p2n2/3p2B1/3P4/2NBPN2/PPQ2PPP/R3K2R w KQ - 5 10,0.0125
rnb1r1k1/pp3pbp/1q1p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 8 11,0.0211
r1bqkbnr/pp2pppp/2n5/3p4/3P4/N2B4/PPP2PPP/R1BQK1NR b KQkq - 3 5,-0.0099
rn1qkb1r/3ppppp/b4n2/2pP4/8/8/PP2PPPP/RNBQKBNR w KQkq - 0 6,0.0134
rnbq1rk1/ppp1ppbp/3p2p1/8/2PPP1n1/2N1BP2/PP4PP/R2QKBNR w KQ - 3 7,0.0465
r1b1r1k1/pp1nbppp/1qp2n2/3p2B1/3P4/2NBPN2/PPQ2PPP/R4RK1 w - - 7 11,0.0103
rnbqk1nr/ppp1bp1p/3p4/4p1p1/2BPP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,0.0326
rnbqkb1r/pppp2pp/3n1p2/8/2BQ4/5N2/PPP2PPP/RNB2RK1 w kq - 0 7,0.0223
rn1qkb1r/1p2pppp/p2p1n2/5b2/2BNP3/2N5/PPP2PPP/R1BQK2R w KQkq - 2 7,0.0632
rnbqkb1r/pp1p1ppp/5n1B/2pp4/2P5/2N5/PP2PPPP/R2QKBNR b KQkq - 1 5,-0.0518
r1bqk2r/pp1pppbp/2n2np1/8/3NP3/2N1BP2/PPP3PP/R2QKB1R b KQkq - 0 7,-0.0016
rn1qkb1r/pppbpppp/5n2/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 1 4,0.02
rnbqkbnr/pp2pppp/7B/3p4/3P4/8/PPP2PPP/RN1QKBNR b KQkq - 1 4,-0.0526
r1bqk2r/pp1nbppp/2p2n2/3p2B1/3P4/2N1PP2/PPQ3PP/R3KBNR b KQkq - 0 8,-0.0111
rnbqkb1r/ppp2ppp/3p1n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,0.0063
r1bq1rk1/pp1pppbp/2n2np1/8/P1BNP3/2N1B3/1PP2PPP/R2QK2R b KQ - 0 8,-0.0125
r2qkb1r/pp2pppp/5n2/n2p4/3P1Bb1/1QPB1P2/PP4PP/RN2K1NR b KQkq - 0 8,-0.088
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 1 7,-0.0072
rnbqkb1r/ppp1ppp1/5n2/3P3p/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,0.015
r4rk1/2pqbppp/p1np1n2/1p2p3/3PP1b1/1BP1BN2/PP3PPP/RN1QR1K1 w - - 3 11,0.0084
r1bqkbnr/pp2pppp/2n5/3p4/1P1P4/3B4/P1P2PPP/RNBQK1NR b KQkq - 0 5,-0.0158
rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP1KPPPP/RNBQ1BNR b kq - 1 4,-0.0276
r2qkbnr/ppp1pp1p/2np2p1/8/3PP1b1/2N2N2/PPPK1PPP/R1BQ1B1R b kq - 3 5,-0.0229
r1b1kbnr/ppq1pppp/2n5/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq - 1 6,0.0076
r1bqk1nr/pppnbppp/3p4/8/2BNP3/5Q2/PPP2PPP/RNB1K2R b KQkq - 2 6,-0.01
rn1qkb1r/ppp2ppp/4bn2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 6,0.0084
